insee,commune,departement,travail_insee,travail_commune,travail_departement,latitude,longitude,emplois,habitants,menages,pers_par_menages,unite_conso_menages,revenu_median,travail_latitude,travail_longitude,travail_emplois,distance_oiseau_km,distance_auto_km,duree_auto_minutes,distance_velo_km,duree_velo_minutes,2009,2014,2009_inter,2014_inter,2009_extra,2014_extra,2009_extra_travail_commune,extra_travail_commune_2014
34301,SETE,34,34003,AGDE,34,43.39177058,3.647051483,5065,44136,21930,43646,31558,17042,43.30912912,3.484479031,3307,16.0,17.6,21,19.3,88,13191,12945,8805,8847,4386,4098,162,173
34301,SETE,34,34024,BALARUC-LE-VIEUX,34,43.39177058,3.647051483,5065,44136,21930,43646,31558,17042,43.46597997,3.697133675,440,9.2,15.6,28,13.9,61,0,12945,0,8847,0,4098,0,100
34301,SETE,34,34032,BEZIERS,34,43.39177058,3.647051483,5065,44136,21930,43646,31558,17042,43.34758833,3.230767542,11336,34.0,41.8,44,45.3,211,13191,12945,8805,8847,4386,4098,198,205
34301,SETE,34,34172,MONTPELLIER,34,43.39177058,3.647051483,5065,44136,21930,43646,31558,17042,43.61344091,3.868516579,38976,30.4,37.8,59,39.6,170,13191,12945,8805,8847,4386,4098,1399,1301
34301,SETE,34,34157,MEZE,34,43.39177058,3.647051483,5065,44136,21930,43646,31558,17042,43.42929811,3.57774573,963,7.0,27.3,34,25.6,109,13191,0,8805,0,4386,0,114,0
34301,SETE,34,34108,FRONTIGNAN,34,43.39177058,3.647051483,5065,44136,21930,43646,31558,17042,43.44824589,3.749235224,2050,10.4,14.9,29,13.6,60,13191,12945,8805,8847,4386,4098,696,655
34301,SETE,34,34213,POUSSAN,34,43.39177058,3.647051483,5065,44136,21930,43646,31558,17042,43.49386827,3.660605263,494,11.4,21.0,37,18.0,79,13191,0,8805,0,4386,0,150,0
34301,SETE,34,34023,BALARUC-LES-BAINS,34,43.39177058,3.647051483,5065,44136,21930,43646,31558,17042,43.44690071,3.690720868,634,7.1,14.4,28,11.5,51,13191,12945,8805,8847,4386,4098,346,290
34301,SETE,34,34270,SAINT-JEAN-DE-VEDAS,34,43.39177058,3.647051483,5065,44136,21930,43646,31558,17042,43.57162823,3.83221848,3060,25.0,34.9,42,35.4,150,13191,0,8805,0,4386,0,129,0
34304,SOUBES,34,34142,LODEVE,34,43.7796057,3.352013685,83,911,367,857,582,19160,43.73073549,3.305676679,931,6.6,8.2,16,9.2,40,321,348,86,97,235,252,106,131
34307,SUSSARGUES,34,34172,MONTPELLIER,34,43.70901741,3.994510038,94,2649,1001,2699,1752,25264,43.61344091,3.868516579,38976,14.7,31.1,37,19.7,89,1064,1092,240,170,824,922,312,333
34309,TEYRAN,34,34057,CASTELNAU-LE-LEZ,34,43.68496022,3.92844546,310,4606,1802,4720,3120,26029,43.63802188,3.91265416,2901,5.4,10.2,19,6.7,30,1860,1971,372,435,1488,1536,105,105
34309,TEYRAN,34,34172,MONTPELLIER,34,43.68496022,3.92844546,310,4606,1802,4720,3120,26029,43.61344091,3.868516579,38976,9.3,13.2,29,12.6,54,1860,1971,372,435,1488,1536,794,745
34310,THEZAN-LES-BEZIERS,34,34032,BEZIERS,34,43.41329251,3.158108775,267,2921,1187,2826,1914,19482,43.34758833,3.230767542,11336,9.4,10.7,16,11.3,46,1044,1073,276,330,768,743,468,489
34311,TOURBES,34,34199,PEZENAS,34,43.44261287,3.373250632,74,1545,637,1514,1033,20411,43.46299017,3.416516521,1650,4.2,5.3,10,5.1,21,513,614,122,189,391,426,159,173
34312,LA TOUR-SUR-ORB,34,34028,BEDARIEUX,34,43.65552508,3.151444316,67,1271,572,1336,916,18860,43.61255691,3.166807872,826,4.9,7.8,14,7.8,40,495,435,126,80,369,355,126,145
34320,VAILHAUQUES,34,34172,MONTPELLIER,34,43.6641779,3.72842619,194,2619,904,2541,1625,23800,43.61344091,3.868516579,38976,12.6,17.6,26,14.9,71,1021,1197,165,265,856,932,521,562
34321,VALERGUES,34,34172,MONTPELLIER,34,43.67240395,4.05870784,98,2022,765,2035,1324,20753,43.61344091,3.868516579,38976,16.7,21.4,32,20.4,90,960,966,143,195,817,771,319,250
34322,VALFLAUNES,34,34172,MONTPELLIER,34,43.80200941,3.861882851,58,731,284,700,468,24137,43.61344091,3.868516579,38976,21.0,27.6,38,25.1,110,0,327,0,48,0,279,0,144
34324,VALRAS-PLAGE,34,34299,SERIGNAN,34,43.24761123,3.289294314,264,4227,2742,4887,3723,18276,43.27331853,3.297250833,601,2.9,4.9,10,4.8,21,0,1107,0,382,0,726,0,103
34324,VALRAS-PLAGE,34,34032,BEZIERS,34,43.24761123,3.289294314,264,4227,2742,4887,3723,18276,43.34758833,3.230767542,11336,12.1,15.6,21,15.9,67,1420,1107,518,382,903,726,446,269
34325,VALROS,34,34199,PEZENAS,34,43.41918943,3.361412597,73,1560,694,1678,1123,18629,43.46299017,3.416516521,1650,6.6,8.4,12,7.8,32,499,0,142,0,357,0,105,0
34325,VALROS,34,34032,BEZIERS,34,43.41918943,3.361412597,73,1560,694,1678,1123,18629,43.34758833,3.230767542,11336,13.2,15.0,17,17.6,73,0,604,0,137,0,467,0,113
34327,VENDARGUES,34,34172,MONTPELLIER,34,43.66104575,3.962830331,1607,6186,2522,6325,4204,21559,43.61344091,3.868516579,38976,9.3,13.6,26,11.8,55,2359,2721,534,668,1824,2053,859,979
