insee,commune,departement,travail_insee,travail_commune,travail_departement,latitude,longitude,emplois,habitants,menages,pers_par_menages,unite_conso_menages,revenu_median,travail_latitude,travail_longitude,travail_emplois,distance_oiseau_km,distance_auto_km,duree_auto_minutes,distance_velo_km,duree_velo_minutes,2009,2014,2009_inter,2014_inter,2009_extra,2014_extra,2009_extra_travail_commune,extra_travail_commune_2014
81112,LABASTIDE-DE-LEVIS,81,81004,ALBI,81,43.9310811,2.002690492,76,935,395,925,631,21944,43.92582136,2.146863286,8856,11.6,16.0,21,13.4,56,449,441,83,82,367,359,177,185
81116,LABASTIDE-SAINT-GEORGES,81,81140,LAVAUR,81,43.6998934,1.8453617,62,1922,757,1966,1293,21158,43.68956287,1.794372137,1727,4.3,4.9,9,4.9,20,759,862,153,207,605,655,311,309
81117,LABESSIERE-CANDEIL,81,81105,GRAULHET,81,43.80063283,2.02071432,53,727,295,747,498,19808,43.75765622,2.001225129,1556,5.0,7.7,10,7.1,30,0,332,0,76,0,256,0,116
81120,LABRUGUIERE,81,81065,CASTRES,81,43.50900503,2.266620075,723,6478,2770,6548,4435,19020,43.61565112,2.237872316,6200,12.1,21.9,22,14.9,65,2228,2477,751,895,1478,1581,774,825
81120,LABRUGUIERE,81,81163,MAZAMET,81,43.50900503,2.266620075,723,6478,2770,6548,4435,19020,43.45787803,2.388534691,1548,11.4,24.2,34,17.0,110,2228,2477,751,895,1478,1581,216,214
81128,LACROUZETTE,81,81065,CASTRES,81,43.66222602,2.36167468,389,1746,708,1710,1163,19727,43.61565112,2.237872316,6200,11.2,18.0,23,14.7,63,664,0,440,0,224,0,120,0
81130,LAGARRIGUE,81,81065,CASTRES,81,43.57596459,2.285835658,122,1802,806,1803,1253,20586,43.61565112,2.237872316,6200,5.9,6.7,15,7.8,34,830,738,137,144,693,595,481,355
81131,LAGRAVE,81,81004,ALBI,81,43.89310873,1.990337894,182,2075,801,2047,1347,21304,43.92582136,2.146863286,8856,13.1,21.9,21,14.9,65,772,849,198,190,574,659,263,294
81132,GUITALENS-L'ALBAREDE,81,81065,CASTRES,81,43.63785927,2.04358289,69,867,368,908,603,18574,43.61565112,2.237872316,6200,15.8,19.1,20,22.1,92,364,0,96,0,268,0,120,0
81139,LAUTREC,81,81065,CASTRES,81,43.70524685,2.129294033,196,1784,677,1676,1121,19469,43.61565112,2.237872316,6200,13.3,14.8,15,16.2,68,734,694,253,256,482,437,166,196
81140,LAVAUR,81,81065,CASTRES,81,43.68956287,1.794372137,1727,10592,4683,10361,7179,19778,43.61565112,2.237872316,6200,36.6,40.8,42,45.2,190,0,4105,0,2119,0,1986,0,101
81140,LAVAUR,81,81271,SAINT-SULPICE,81,43.68956287,1.794372137,1727,10592,4683,10361,7179,19778,43.75898852,1.686599978,947,11.6,16.9,18,15.4,63,4079,4105,2261,2119,1818,1986,166,152
81140,LAVAUR,81,31555,TOULOUSE,31,43.68956287,1.794372137,1727,10592,4683,10361,7179,19778,43.59638143,1.431672934,71878,31.0,45.7,42,39.1,162,4079,4105,2261,2119,1818,1986,484,520
81144,LESCURE-D'ALBIGEOIS,81,81004,ALBI,81,43.96561644,2.1823093,504,4489,1880,4529,3066,20499,43.92582136,2.146863286,8856,5.3,9.3,16,8.2,36,1670,1699,314,400,1356,1299,841,836
81145,LISLE-SUR-TARN,81,81099,GAILLAC,81,43.89749804,1.782001439,316,4514,2015,4684,3195,19229,43.91709688,1.886472138,2095,8.7,11.6,15,12.0,55,1649,1743,531,549,1118,1194,202,234
81145,LISLE-SUR-TARN,81,31555,TOULOUSE,31,43.89749804,1.782001439,316,4514,2015,4684,3195,19229,43.59638143,1.431672934,71878,43.8,65.3,54,54.1,238,1649,1743,531,549,1118,1194,174,205
81145,LISLE-SUR-TARN,81,81004,ALBI,81,43.89749804,1.782001439,316,4514,2015,4684,3195,19229,43.92582136,2.146863286,8856,29.4,37.6,38,34.6,149,1649,1743,531,549,1118,1194,118,177
81147,LOMBERS,81,81004,ALBI,81,43.81594385,2.143885103,136,1115,455,1154,756,19312,43.92582136,2.146863286,8856,12.2,18.0,26,17.4,75,475,465,121,129,355,337,132,149
81156,MARSSAC-SUR-TARN,81,81004,ALBI,81,43.91027263,2.036411411,289,3030,1357,3207,2182,21205,43.92582136,2.146863286,8856,9.0,12.2,16,9.9,44,1142,1266,207,253,935,1012,486,490
81156,MARSSAC-SUR-TARN,81,81099,GAILLAC,81,43.91027263,2.036411411,289,3030,1357,3207,2182,21205,43.91709688,1.886472138,2095,12.0,14.2,16,16.5,70,0,1266,0,253,0,1012,0,113
81163,MAZAMET,81,81065,CASTRES,81,43.45787803,2.388534691,1548,10173,4727,9540,6871,17453,43.61565112,2.237872316,6200,21.3,31.1,37,30.2,134,3176,3103,1858,1662,1317,1441,364,431
81163,MAZAMET,81,81021,AUSSILLON,81,43.45787803,2.388534691,1548,10173,4727,9540,6871,17453,43.49468239,2.355804926,718,4.9,7.6,13,7.3,35,3176,3103,1858,1662,1317,1441,234,252
81163,MAZAMET,81,81036,BOUT-DU-PONT-DE-LARN,81,43.45787803,2.388534691,1548,10173,4727,9540,6871,17453,43.50155832,2.429811432,268,5.9,14.2,25,11.0,49,3176,3103,1858,1662,1317,1441,145,108
81171,MONTANS,81,81099,GAILLAC,81,43.85022568,1.866315543,268,1378,546,1434,934,20366,43.91709688,1.886472138,2095,7.6,12.9,15,9.6,40,556,584,164,144,392,440,104,125
81182,MONTREDON-LABESSONNIE,81,81065,CASTRES,81,43.72430341,2.321248914,217,2052,846,1990,1360,17449,43.61565112,2.237872316,6200,13.8,20.6,23,19.9,86,821,825,402,321,418,504,175,188
81190,MOUZIEYS-TEULET,81,81004,ALBI,81,43.87840711,2.273010875,18,445,177,467,304,19775,43.92582136,2.146863286,8856,11.4,13.0,19,13.0,55,205,0,24,0,181,0,121,0
81195,NAVES,81,81065,CASTRES,81,43.56443762,2.218382187,34,676,286,717,484,22158,43.61565112,2.237872316,6200,5.9,10.3,13,7.7,34,311,333,32,39,280,293,221,219
81196,NOAILHAC,81,81065,CASTRES,81,43.57603178,2.3540941,74,869,375,910,613,19219,43.61565112,2.237872316,6200,10.3,12.9,21,14.4,60,354,358,61,79,293,279,163,133
81204,PAYRIN-AUGMONTEL,81,81065,CASTRES,81,43.53851296,2.344769654,104,2203,949,2209,1516,20628,43.61565112,2.237872316,6200,12.2,13.5,21,20.0,92,922,920,121,179,800,741,175,168
81204,PAYRIN-AUGMONTEL,81,81021,AUSSILLON,81,43.53851296,2.344769654,104,2203,949,2209,1516,20628,43.49468239,2.355804926,718,5.0,7.7,11,10.6,52,922,920,121,179,800,741,130,120
81204,PAYRIN-AUGMONTEL,81,81163,MAZAMET,81,43.53851296,2.344769654,104,2203,949,2209,1516,20628,43.45787803,2.388534691,1548,9.6,16.9,26,17.3,84,922,920,121,179,800,741,269,213
81209,PONT-DE-LARN,81,81021,AUSSILLON,81,43.53084696,2.409804703,140,2894,1272,2960,2034,19749,43.49468239,2.355804926,718,5.9,9.2,17,9.2,40,1267,1202,202,233,1064,969,143,113
81209,PONT-DE-LARN,81,81065,CASTRES,81,43.53084696,2.409804703,140,2894,1272,2960,2034,19749,43.61565112,2.237872316,6200,16.8,29.6,34,23.5,99,1267,1202,202,233,1064,969,191,160
81209,PONT-DE-LARN,81,81163,MAZAMET,81,43.53084696,2.409804703,140,2894,1272,2960,2034,19749,43.45787803,2.388534691,1548,8.3,13.4,26,12.5,55,1267,1202,202,233,1064,969,411,376
81218,PUYGOUZON,81,81004,ALBI,81,43.88845732,2.169556439,402,2952,1229,2998,2031,24310,43.92582136,2.146863286,8856,4.5,5.7,13,5.5,23,1220,1099,231,230,989,869,624,530
81219,PUYLAURENS,81,81065,CASTRES,81,43.58245249,2.016858004,346,3270,1363,3190,2172,19053,43.61565112,2.237872316,6200,18.2,26.4,28,26.5,111,1260,1255,452,550,808,705,208,145
81219,PUYLAURENS,81,31555,TOULOUSE,31,43.58245249,2.016858004,346,3270,1363,3190,2172,19053,43.59638143,1.431672934,71878,47.2,64.4,56,58.6,251,1260,0,452,0,808,0,136,0
81220,RABASTENS,81,81070,COUFOULEUX,81,43.84840409,1.714951432,409,5394,2305,5507,3706,21061,43.79784894,1.731584266,214,5.8,6.8,12,6.8,28,1960,0,640,0,1320,0,116,0
81220,RABASTENS,81,81271,SAINT-SULPICE,81,43.84840409,1.714951432,409,5394,2305,5507,3706,21061,43.75898852,1.686599978,947,10.2,12.6,19,13.1,54,1960,2195,640,557,1320,1638,156,175
81220,RABASTENS,81,81099,GAILLAC,81,43.84840409,1.714951432,409,5394,2305,5507,3706,21061,43.91709688,1.886472138,2095,15.7,19.9,25,21.2,89,0,2195,0,557,0,1638,0,145
81220,RABASTENS,81,31555,TOULOUSE,31,43.84840409,1.714951432,409,5394,2305,5507,3706,21061,43.59638143,1.431672934,71878,36.1,47.0,44,46.0,203,1960,2195,640,557,1320,1638,396,419
81220,RABASTENS,81,81004,ALBI,81,43.84840409,1.714951432,409,5394,2305,5507,3706,21061,43.92582136,2.146863286,8856,35.7,47.6,41,44.6,187,0,2195,0,557,0,1638,0,120
81222,REALMONT,81,81004,ALBI,81,43.77997659,2.190179106,443,3356,1545,3393,2369,18566,43.92582136,2.146863286,8856,16.6,20.0,27,21.2,111,1224,1421,480,519,744,902,228,335
81222,REALMONT,81,81065,CASTRES,81,43.77997659,2.190179106,443,3356,1545,3393,2369,18566,43.61565112,2.237872316,6200,18.7,21.4,23,23.6,99,1224,1421,480,519,744,902,124,149
81225,RIVIERES,81,81004,ALBI,81,43.9157733,1.969472841,77,1001,415,1020,676,20252,43.92582136,2.146863286,8856,14.3,18.4,22,16.6,69,474,419,105,68,369,351,122,141
81225,RIVIERES,81,81099,GAILLAC,81,43.9157733,1.969472841,77,1001,415,1020,676,20252,43.91709688,1.886472138,2095,6.7,8.0,9,9.2,39,474,0,105,0,369,0,114,0
81227,ROQUECOURBE,81,81065,CASTRES,81,43.67265441,2.277585215,113,2271,1004,2250,1563,18749,43.61565112,2.237872316,6200,7.1,11.3,16,9.7,40,873,899,219,170,654,728,364,393
81232,ROUFFIAC,81,81004,ALBI,81,43.88266393,2.071720305,13,632,241,643,419,22509,43.92582136,2.146863286,8856,7.7,10.0,16,10.7,46,261,320,41,72,221,248,118,112
81235,SAINT-AFFRIQUE-LES-MONTAGNES,81,81065,CASTRES,81,43.52812254,2.201350603,23,788,299,794,517,19224,43.61565112,2.237872316,6200,10.2,15.4,17,12.8,57,353,407,53,54,301,353,135,107
81238,SAINT-AMANS-SOULT,81,81163,MAZAMET,81,43.46447858,2.477063413,191,1652,719,1613,1123,18855,43.45787803,2.388534691,1548,7.2,17.9,29,12.1,75,647,610,252,201,396,410,116,128
81244,SAINT-BENOIT-DE-CARMAUX,81,81004,ALBI,81,44.0544139,2.12958422,85,2159,1013,2157,1523,17376,43.92582136,2.146863286,8856,14.4,22.6,31,17.4,73,618,706,68,90,550,616,148,150
81244,SAINT-BENOIT-DE-CARMAUX,81,81060,CARMAUX,81,44.0544139,2.12958422,85,2159,1013,2157,1523,17376,44.05666673,2.166414185,1092,3.0,3.6,7,3.8,16,618,706,68,90,550,616,195,205
81251,SAINT-GERMAIN-DES-PRES,81,81065,CASTRES,81,43.56284947,2.078010852,30,902,324,891,573,20076,43.61565112,2.237872316,6200,14.2,20.3,23,20.7,90,376,0,65,0,312,0,106,0
81253,SAINT-GREGOIRE,81,81004,ALBI,81,43.95516742,2.261064418,12,502,192,482,319,18729,43.92582136,2.146863286,8856,9.7,13.7,28,13.1,58,211,229,33,54,178,175,136,113
81257,SAINT-JUERY,81,81004,ALBI,81,43.93855715,2.226144153,510,6792,3260,7015,4936,18940,43.92582136,2.146863286,8856,6.5,8.5,18,8.5,37,2701,2484,603,576,2098,1908,1425,1252
81261,SAINT-LIEUX-LES-LAVAUR,81,31555,TOULOUSE,31,43.75542643,1.747526802,56,988,345,1009,631,21959,43.59638143,1.431672934,71878,31.0,43.8,36,37.9,159,406,467,37,75,369,392,141,121
81271,SAINT-SULPICE,81,81004,ALBI,81,43.75898852,1.686599978,947,8642,3392,8785,5695,21991,43.92582136,2.146863286,8856,41.3,48.1,35,51.6,212,3513,3967,924,1043,2589,2924,100,124
81271,SAINT-SULPICE,81,31555,TOULOUSE,31,43.75898852,1.686599978,947,8642,3392,8785,5695,21991,43.59638143,1.431672934,71878,27.3,42.1,35,36.2,151,3513,3967,924,1043,2589,2924,1101,1269
81271,SAINT-SULPICE,81,81140,LAVAUR,81,43.75898852,1.686599978,947,8642,3392,8785,5695,21991,43.68956287,1.794372137,1727,11.6,14.7,18,15.4,63,3513,3967,924,1043,2589,2924,188,159
81271,SAINT-SULPICE,81,31069,BLAGNAC,31,43.75898852,1.686599978,947,8642,3392,8785,5695,21991,43.64218679,1.378869411,6700,27.9,43.2,33,40.4,170,0,3967,0,1043,0,2924,0,104
81273,SAIX,81,81065,CASTRES,81,43.58421959,2.170448471,334,3432,1441,3524,2382,20676,43.61565112,2.237872316,6200,6.5,10.4,15,8.5,38,1345,1287,334,283,1011,1004,708,664
81274,SALIES,81,81004,ALBI,81,43.8859141,2.132933546,11,821,294,809,523,22314,43.92582136,2.146863286,8856,4.6,6.4,13,6.4,28,397,413,28,57,369,356,225,251
81281,SEMALENS,81,81065,CASTRES,81,43.59899852,2.109291674,89,2042,858,2077,1402,19266,43.61565112,2.237872316,6200,10.5,15.5,18,14.3,60,900,899,176,155,724,744,360,345
81283,SENOUILLAC,81,81099,GAILLAC,81,43.94741231,1.95119521,66,1087,435,1164,756,19555,43.91709688,1.886472138,2095,6.2,7.4,10,9.1,39,470,501,109,136,361,365,143,140
81284,LE SEQUESTRE,81,81004,ALBI,81,43.91054023,2.106556642,522,1602,733,1709,1168,20639,43.92582136,2.146863286,8856,3.6,4.6,11,4.6,20,736,736,134,152,602,584,439,347
81288,SOREZE,81,31451,REVEL,31,43.44124925,2.080313377,318,2755,1181,2694,1856,18607,43.46560378,1.996893941,1508,7.3,10.2,15,11.1,49,956,1149,316,389,640,760,260,334
81289,SOUAL,81,81065,CASTRES,81,43.55112503,2.128886688,354,2461,1084,2460,1689,19497,43.61565112,2.237872316,6200,11.3,19.9,21,16.5,74,926,899,341,258,585,641,252,350
81297,TERSSAC,81,81004,ALBI,81,43.92257156,2.069103583,310,1114,497,1199,811,23970,43.92582136,2.146863286,8856,6.2,7.1,13,7.0,30,381,483,75,99,306,384,192,189
81306,VALDERIES,81,81004,ALBI,81,44.01868808,2.23180106,60,833,363,829,572,19998,43.92582136,2.146863286,8856,12.4,17.9,26,17.1,74,386,312,111,94,275,218,127,109
81307,VALDURENQUE,81,81065,CASTRES,81,43.5713586,2.310921357,59,813,323,817,539,20229,43.61565112,2.237872316,6200,7.7,9.1,18,10.7,46,376,340,48,55,328,285,196,150
81315,VIELMUR-SUR-AGOUT,81,81065,CASTRES,81,43.62741742,2.100740497,111,1500,583,1483,978,20091,43.61565112,2.237872316,6200,11.1,13.3,13,15.0,63,622,625,153,145,468,480,232,206
81317,VILLEFRANCHE-D'ALBIGEOIS,81,81004,ALBI,81,43.89239909,2.322469335,116,1238,525,1232,839,18396,43.92582136,2.146863286,8856,14.6,18.0,24,17.9,75,365,470,134,109,231,361,145,183
81325,VIVIERS-LES-MONTAGNES,81,81065,CASTRES,81,43.54983027,2.175560717,66,1927,788,2032,1339,20617,43.61565112,2.237872316,6200,8.9,15.2,16,12.6,56,800,909,180,171,620,738,293,402
82001,ALBEFEUILLE-LAGARDE,82,82121,MONTAUBAN,82,44.04829716,1.273981427,16,617,256,630,425,18817,44.02225946,1.364086365,10693,7.8,11.7,17,12.2,52,0,251,0,49,0,201,0,113
82002,ALBIAS,82,82121,MONTAUBAN,82,44.08159719,1.448564316,252,3187,1299,3242,2144,18423,44.02225946,1.364086365,10693,9.4,11.4,18,12.3,51,1186,1348,323,318,863,1030,505,616
82005,AUCAMVILLE,82,31555,TOULOUSE,31,43.79602414,1.225327771,51,1154,518,1340,868,21101,43.59638143,1.431672934,71878,27.7,36.9,40,35.8,148,491,518,94,105,397,413,129,140
82011,BARRY-D'ISLEMADE,82,82121,MONTAUBAN,82,44.07271146,1.253006731,10,914,331,928,589,19324,44.02225946,1.364086365,10693,10.5,15.5,26,16.7,72,404,377,77,29,327,348,158,181
82017,BESSENS,82,31555,TOULOUSE,31,43.88786833,1.270547177,92,1466,504,1485,916,21445,43.59638143,1.431672934,71878,34.9,50.0,40,37.5,162,569,681,79,80,490,602,121,134
82018,BIOULE,82,82121,MONTAUBAN,82,44.09922611,1.543368119,33,1097,432,1102,724,20106,44.02225946,1.364086365,10693,16.7,19.2,24,21.5,88,423,488,84,75,339,413,156,199
82025,BRESSOLS,82,31555,TOULOUSE,31,43.95449457,1.316111809,525,3645,1433,3758,2453,20748,43.59638143,1.431672934,71878,40.9,46.2,37,47.7,205,1626,1593,431,466,1194,1127,105,124
82025,BRESSOLS,82,82121,MONTAUBAN,82,43.95449457,1.316111809,525,3645,1433,3758,2453,20748,44.02225946,1.364086365,10693,8.5,12.9,17,12.1,51,1626,1593,431,466,1194,1127,722,694
82027,CAMPSAS,82,31555,TOULOUSE,31,43.88730289,1.3288012,119,1312,450,1328,818,20464,43.59638143,1.431672934,71878,33.4,49.7,41,38.2,165,536,0,100,0,436,0,104,0
82027,CAMPSAS,82,82121,MONTAUBAN,82,43.88730289,1.3288012,119,1312,450,1328,818,20464,44.02225946,1.364086365,10693,15.3,21.2,25,22.0,92,536,630,100,75,436,555,112,140
82031,CASTELMAYRAN,82,82033,CASTELSARRASIN,82,44.02271233,1.047071741,63,1175,431,1108,725,17487,44.04903265,1.123481231,1634,6.8,8.2,13,9.7,41,424,0,118,0,306,0,128,0
82033,CASTELSARRASIN,82,82121,MONTAUBAN,82,44.04903265,1.123481231,1634,13765,5586,13245,8942,17695,44.02225946,1.364086365,10693,19.5,26.0,33,24.4,102,4682,5041,2742,3020,1940,2021,479,497
82033,CASTELSARRASIN,82,31555,TOULOUSE,31,44.04903265,1.123481231,1634,13765,5586,13245,8942,17695,43.59638143,1.431672934,71878,56.1,69.0,50,62.4,263,4682,5041,2742,3020,1940,2021,160,140
82033,CASTELSARRASIN,82,82112,MOISSAC,82,44.04903265,1.123481231,1634,13765,5586,13245,8942,17695,44.12625181,1.09834758,1802,8.8,10.7,16,11.9,59,4682,5041,2742,3020,1940,2021,429,426
82037,CAUSSADE,82,82121,MONTAUBAN,82,44.15654219,1.543511615,1002,6805,3147,6693,4706,17389,44.02225946,1.364086365,10693,20.7,25.1,22,23.7,97,2124,2267,1132,1132,992,1135,368,427
82044,CORBARIEU,82,82121,MONTAUBAN,82,43.94124241,1.381259633,54,1656,663,1653,1090,21179,44.02225946,1.364086365,10693,9.1,11.1,18,12.7,68,708,688,144,105,564,583,336,319
82048,DIEUPENTALE,82,31555,TOULOUSE,31,43.86863759,1.279147991,69,1599,599,1661,1042,20129,43.59638143,1.431672934,71878,32.7,36.2,38,35.6,156,588,709,94,63,494,646,143,209
82052,ESCATALENS,82,82121,MONTAUBAN,82,43.98176946,1.193680025,74,1072,353,950,612,19338,44.02225946,1.364086365,10693,14.4,18.0,26,18.3,77,448,431,106,102,342,329,120,102
82062,FINHAN,82,82121,MONTAUBAN,82,43.91269517,1.219263267,43,1505,581,1580,1005,18628,44.02225946,1.364086365,10693,16.8,24.9,29,21.1,88,527,663,68,124,458,539,106,139
82063,GARGANVILLAR,82,82033,CASTELSARRASIN,82,43.97522701,1.064280386,27,674,242,646,417,18306,44.04903265,1.123481231,1634,9.5,11.7,17,13.0,55,287,0,83,0,204,0,116,0
82066,GENEBRIERES,82,82121,MONTAUBAN,82,44.00122411,1.49043176,13,670,232,634,407,19891,44.02225946,1.364086365,10693,10.4,12.4,16,12.2,50,260,316,64,64,196,252,128,136
82072,GOLFECH,82,82186,VALENCE,82,44.11002743,0.856994008,264,954,370,928,613,19954,44.10683321,0.897921093,771,3.3,4.2,6,4.9,21,399,415,161,166,239,249,108,107
82073,GOUDOURVILLE,82,82186,VALENCE,82,44.11300873,0.925431532,31,960,382,960,644,20674,44.10683321,0.897921093,771,2.3,2.7,4,2.5,10,0,387,0,69,0,318,0,129
82075,GRISOLLES,82,31069,BLAGNAC,31,43.82244837,1.286708305,424,3925,1609,3844,2578,21126,43.64218679,1.378869411,6700,21.4,25.9,32,26.1,121,0,1630,0,314,0,1315,0,106
82075,GRISOLLES,82,31555,TOULOUSE,31,43.82244837,1.286708305,424,3925,1609,3844,2578,21126,43.59638143,1.431672934,71878,27.7,32.2,35,31.2,137,1477,1630,322,314,1155,1315,337,411
82075,GRISOLLES,82,82121,MONTAUBAN,82,43.82244837,1.286708305,424,3925,1609,3844,2578,21126,44.02225946,1.364086365,10693,23.1,26.9,29,30.4,129,1477,1630,322,314,1155,1315,148,150
82076,L'HONOR-DE-COS,82,82121,MONTAUBAN,82,44.11687663,1.35696972,48,1549,642,1580,1067,18985,44.02225946,1.364086365,10693,10.5,12.3,16,13.7,60,682,615,118,160,564,455,372,280
82079,LABASTIDE-SAINT-PIERRE,82,82121,MONTAUBAN,82,43.9190656,1.346402008,296,3646,1416,3726,2432,19289,44.02225946,1.364086365,10693,11.6,15.4,22,17.8,75,1386,1515,340,339,1046,1175,375,355
82079,LABASTIDE-SAINT-PIERRE,82,31555,TOULOUSE,31,43.9190656,1.346402008,296,3646,1416,3726,2432,19289,43.59638143,1.431672934,71878,36.5,50.8,40,43.2,185,1386,1515,340,339,1046,1175,164,208
82079,LABASTIDE-SAINT-PIERRE,82,31584,VILLEMUR-SUR-TARN,31,43.9190656,1.346402008,296,3646,1416,3726,2432,19289,43.8644096,1.490438127,623,13.0,14.6,18,17.6,73,0,1515,0,339,0,1175,0,127
82080,LABASTIDE-DU-TEMPLE,82,82121,MONTAUBAN,82,44.08109618,1.202358184,45,1177,404,1126,715,18967,44.02225946,1.364086365,10693,14.5,19.5,26,19.9,84,450,448,91,75,359,372,140,121
82085,LACOURT-SAINT-PIERRE,82,82121,MONTAUBAN,82,43.98858037,1.271695219,35,1147,419,1144,736,20626,44.02225946,1.364086365,10693,8.3,11.4,20,10.1,43,522,496,139,69,383,427,202,252
82087,LAFRANCAISE,82,82121,MONTAUBAN,82,44.13545336,1.240219641,370,2874,1230,2912,1981,18764,44.02225946,1.364086365,10693,16.0,18.3,24,21.2,86,1128,1127,404,413,724,714,388,329
82087,LAFRANCAISE,82,82112,MOISSAC,82,44.13545336,1.240219641,370,2874,1230,2912,1981,18764,44.12625181,1.09834758,1802,11.4,14.7,18,15.2,62,0,1127,0,413,0,714,0,140
82089,LAMAGISTERE,82,82186,VALENCE,82,44.13205717,0.821877165,68,1125,498,1138,772,16259,44.10683321,0.897921093,771,6.7,7.8,10,7.5,31,464,0,114,0,350,0,101,0
82090,LAMOTHE-CAPDEVILLE,82,82121,MONTAUBAN,82,44.09326198,1.389765649,73,1053,425,1068,709,20597,44.02225946,1.364086365,10693,8.2,10.9,17,10.7,46,436,450,112,135,324,315,252,205
82096,LA VILLE-DIEU-DU-TEMPLE,82,82033,CASTELSARRASIN,82,44.04298169,1.220973624,119,3184,1192,3194,2050,18223,44.04903265,1.123481231,1634,7.8,11.7,15,10.6,44,1144,1284,224,307,920,977,134,104
82096,LA VILLE-DIEU-DU-TEMPLE,82,82121,MONTAUBAN,82,44.04298169,1.220973624,119,3184,1192,3194,2050,18223,44.02225946,1.364086365,10693,11.7,16.0,22,16.3,68,1144,1284,224,307,920,977,495,464
82098,LEOJAC,82,82121,MONTAUBAN,82,44.0029268,1.451146804,31,1174,461,1194,782,22613,44.02225946,1.364086365,10693,7.3,8.6,13,8.3,35,476,499,76,58,400,441,288,281
82108,MEAUZAC,82,82121,MONTAUBAN,82,44.09546178,1.230410719,60,1358,523,1331,876,19896,44.02225946,1.364086365,10693,13.4,18.6,23,19.2,81,463,611,140,151,323,460,157,243
82110,MIRABEL,82,82121,MONTAUBAN,82,44.1424578,1.411368859,59,1015,422,1045,701,19905,44.02225946,1.364086365,10693,13.9,18.9,22,17.9,75,382,456,169,132,213,324,101,136
82112,MOISSAC,82,31555,TOULOUSE,31,44.12625181,1.09834758,1802,12408,5546,13048,8856,16767,43.59638143,1.431672934,71878,64.7,75.1,55,71.6,314,4379,4116,2815,2555,1564,1562,161,149
82112,MOISSAC,82,82121,MONTAUBAN,82,44.12625181,1.09834758,1802,12408,5546,13048,8856,16767,44.02225946,1.364086365,10693,24.2,31.4,37,32.4,135,4379,4116,2815,2555,1564,1562,316,308
82112,MOISSAC,82,82033,CASTELSARRASIN,82,44.12625181,1.09834758,1802,12408,5546,13048,8856,16767,44.04903265,1.123481231,1634,8.8,10.8,16,12.0,59,4379,4116,2815,2555,1564,1562,393,400
82115,MONCLAR-DE-QUERCY,82,82121,MONTAUBAN,82,43.98805907,1.582363059,124,1932,684,1665,1102,18302,44.02225946,1.364086365,10693,17.9,21.1,27,21.5,90,658,696,187,218,471,477,238,228
82121,MONTAUBAN,82,82033,CASTELSARRASIN,82,44.02225946,1.364086365,10693,58826,27192,60631,41844,19034,44.04903265,1.123481231,1634,19.5,24.3,34,24.7,103,22217,22028,16942,16578,5276,5450,222,224
