insee,commune,departement,travail_insee,travail_commune,travail_departement,latitude,longitude,emplois,habitants,menages,pers_par_menages,unite_conso_menages,revenu_median,travail_latitude,travail_longitude,travail_emplois,distance_oiseau_km,distance_auto_km,duree_auto_minutes,distance_velo_km,duree_velo_minutes,2009,2014,2009_inter,2014_inter,2009_extra,2014_extra,2009_extra_travail_commune,extra_travail_commune_2014
31555,TOULOUSE,31,31588,VILLENEUVE-TOLOSANE,31,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.52667072,1.346488076,630,10.4,17.1,25,11.2,49,192630,202273,143530,148615,49099,53659,189,204
31555,TOULOUSE,31,31462,ROUFFIAC-TOLOSAN,31,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.66389734,1.525419431,487,10.6,18.5,25,12.8,55,0,202273,0,148615,0,53659,0,173
31555,TOULOUSE,31,95527,ROISSY-EN-FRANCE,95,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,49.00660444,2.514177435,0,607.5,700.5,411,755.6,3348,192630,202273,143530,148615,49099,53659,171,136
31555,TOULOUSE,31,31056,BEAUZELLE,31,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.66778371,1.374089063,671,9.2,13.7,19,10.5,45,192630,202273,143530,148615,49099,53659,146,267
31555,TOULOUSE,31,31395,MURET,31,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.44910778,1.307846794,3402,19.2,26.7,26,23.3,98,192630,202273,143530,148615,49099,53659,1067,1101
31555,TOULOUSE,31,31044,BALMA,31,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.61152587,1.504591383,3761,6.1,17.4,24,7.1,32,192630,202273,143530,148615,49099,53659,2840,3175
31555,TOULOUSE,31,31547,SEYSSES,31,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.49889158,1.286905756,648,15.9,23.7,27,18.9,82,0,202273,0,148615,0,53659,0,103
31555,TOULOUSE,31,31445,QUINT-FONSEGRIVES,31,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.58156828,1.542123579,878,9.0,16.8,27,10.9,48,192630,202273,143530,148615,49099,53659,420,426
31555,TOULOUSE,31,31433,PORTET-SUR-GARONNE,31,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.52939527,1.402519557,3147,7.8,11.7,19,10.4,45,192630,202273,143530,148615,49099,53659,1613,1352
31555,TOULOUSE,31,31113,CASTANET-TOLOSAN,31,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.51361667,1.50383757,1223,10.9,18.4,26,12.4,54,192630,202273,143530,148615,49099,53659,641,737
31555,TOULOUSE,31,9122,FOIX,9,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,42.96585023,1.610374959,2583,71.6,87.7,60,88.8,368,0,202273,0,148615,0,53659,0,104
31555,TOULOUSE,31,31587,VILLENEUVE-LES-BOULOC,31,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.77378165,1.423836208,549,19.7,28.8,32,23.5,100,0,202273,0,148615,0,53659,0,115
31555,TOULOUSE,31,31467,SAINT-ALBAN,31,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.69277089,1.412605248,1208,10.8,19.4,23,12.7,55,192630,202273,143530,148615,49099,53659,417,369
31555,TOULOUSE,31,31499,SAINT-LYS,31,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.51000733,1.199557119,567,21.0,31.7,36,24.9,116,0,202273,0,148615,0,53659,0,136
31555,TOULOUSE,31,31033,AUTERIVE,31,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.35959916,1.477427966,1245,26.6,33.1,38,31.1,140,192630,202273,143530,148615,49099,53659,122,124
31555,TOULOUSE,31,82121,MONTAUBAN,82,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,44.02225946,1.364086365,10693,47.7,55.0,45,59.4,256,192630,202273,143530,148615,49099,53659,746,1055
31555,TOULOUSE,31,46042,CAHORS,46,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,44.45073709,1.440758378,4819,95.0,112.4,82,117.5,492,192630,202273,143530,148615,49099,53659,109,100
31555,TOULOUSE,31,33063,BORDEAUX,33,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,44.85724454,-0.573696781,43954,212.6,244.6,143,257.0,1094,192630,202273,143530,148615,49099,53659,126,127
31555,TOULOUSE,31,32160,L'ISLE-JOURDAIN,32,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.6144926,1.081278366,1344,28.3,36.9,34,32.8,138,192630,202273,143530,148615,49099,53659,168,178
31555,TOULOUSE,31,31458,ROQUES,31,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.50741454,1.354586276,947,11.7,14.3,17,14.3,62,192630,202273,143530,148615,49099,53659,394,374
31555,TOULOUSE,31,32013,AUCH,32,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.65343004,0.57519025,5362,69.3,83.6,71,81.2,358,192630,202273,143530,148615,49099,53659,185,142
31555,TOULOUSE,31,31582,VILLEFRANCHE-DE-LAURAGAIS,31,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.40677927,1.719651267,792,31.4,37.3,36,39.6,161,0,202273,0,148615,0,53659,0,167
31555,TOULOUSE,31,31069,BLAGNAC,31,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.64218679,1.378869411,6700,6.6,9.3,15,8.2,35,192630,202273,143530,148615,49099,53659,8605,9833
31555,TOULOUSE,31,31506,SAINT-ORENS-DE-GAMEVILLE,31,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.55907877,1.535137106,1756,9.3,15.1,24,12.1,52,192630,202273,143530,148615,49099,53659,1030,1627
31555,TOULOUSE,31,81004,ALBI,81,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.92582136,2.146863286,8856,68.1,84.5,61,86.5,367,192630,202273,143530,148615,49099,53659,330,329
31555,TOULOUSE,31,81065,CASTRES,81,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.61565112,2.237872316,6200,65.0,87.8,79,83.8,354,192630,202273,143530,148615,49099,53659,192,281
31555,TOULOUSE,31,31483,SAINT-GAUDENS,31,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.11992608,0.726613564,2364,77.8,91.9,67,96.5,401,192630,202273,143530,148615,49099,53659,170,147
31555,TOULOUSE,31,81140,LAVAUR,81,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.68956287,1.794372137,1727,31.0,46.3,44,38.7,162,192630,202273,143530,148615,49099,53659,268,257
31555,TOULOUSE,31,31557,TOURNEFEUILLE,31,43.59638143,1.431672934,71878,466297,204266,401677,290305,20271,43.57819186,1.335006978,1958,8.0,13.4,21,9.2,41,192630,202273,143530,148615,49099,53659,1006,945
