LAVELANET,23,9122
SAINT-JEAN-DE-VERGES,22,9122
PAMIERS,21,9122
LAVELANET,20,9157
TOULOUSE,19,9225
FOIX,18,9225
VERNIOLLE,17,9225
MAZERES,16,9225
SAINT-JEAN-DE-VERGES,15,9225
SAINT-JEAN-DU-FALGA,14,9225
LORP-SENTARAILLE,13,9261
SAINT-LIZIER,12,9261
FOIX,11,9264
SAINT-GIRONS,10,9268
CASTELNAUDARY,25,11069
TREBES,23,11069
LIMOUX,22,11069
TOULOUSE,21,11069
BRAM,20,11069
NARBONNE,19,11069
LEZIGNAN-CORBIERES,18,11069
PENNAUTIER,17,11069
TOULOUSE,16,11076
CARCASSONNE,15,11076
NARBONNE,14,11203
CARCASSONNE,13,11203
CARCASSONNE,12,11206
MONTREDON-DES-CORBIERES,11,11262
LEZIGNAN-CORBIERES,10,11262
GRUISSAN,10,11262
CUXAC-D'AUDE,10,11262
BEZIERS,10,11262
MONTPELLIER,10,11262
PORT-LA-NOUVELLE,10,11262
COURSAN,10,11262
CARCASSONNE,10,11262
PERPIGNAN,10,11262
NARBONNE,10,11266
SIGEAN,10,11266
VIVIEZ,10,12089
ONET-LE-CHATEAU,10,12096
BOZOULS,10,12096
RODEZ,10,12096
SAINT-GEORGES-DE-LUZENCON,10,12145
SAINT-AFFRIQUE,10,12145
SEVERAC-LE-CHATEAU,10,12145
ROQUEFORT-SUR-SOULZON,10,12145
RODEZ,10,12145
CREISSELS,10,12145
LA CAVALERIE,10,12145
AGUESSAC,10,12145
OLEMPS,10,12176
LUC-LA-PRIMAUBE,10,12176
RODEZ,10,12176
LUC-LA-PRIMAUBE,10,12202
BOZOULS,10,12202
ONET-LE-CHATEAU,10,12202
OLEMPS,10,12202
SEBAZAC-CONCOURES,10,12202
DECAZEVILLE,10,12305
NIMES,10,13004
FOURQUES,10,13004
BEAUCAIRE,10,13004
BEAUCAIRE,10,13108
SAINT-CHRISTOL-LES-ALES,10,30007
SALINDRES,10,30007
SAINT-PRIVAT-DES-VIEUX,10,30007
SAINT-MARTIN-DE-VALGALGUES,10,30007
MONTPELLIER,10,30007
LA GRAND-COMBE,10,30007
ANDUZE,10,30007
NIMES,10,30007
SAINT-HILAIRE-DE-BRETHMAS,10,30007
ALES,10,30010
PONT-SAINT-ESPRIT,10,30028
PIERRELATTE,10,30028
CODOLET,10,30028
CHUSCLAN,10,30028
LAUDUN-L'ARDOISE,10,30028
AVIGNON,10,30028
